trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1269,False,"{'a': 0.002, 'e': 0.07918249716311948}",25,19,11.090226476088546,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1270,False,"{'a': 0.002, 'e': 0.07902429042826366}",20,0,20.103671193124992,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1271,False,"{'a': 0.002, 'e': 0.07886639979067495}",25,19,-31.163344483502556,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
1272,False,"{'a': 0.002, 'e': 0.07870882461879052}",25,10,28.076700702209237,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1273,False,"{'a': 0.002, 'e': 0.07855156428230954}",25,15,-2.9577534074017935,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
1274,False,"{'a': 0.002, 'e': 0.0783946181521904}",20,13,12.452348124503654,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1275,False,"{'a': 0.002, 'e': 0.07823798560064842}",25,11,3.1412858119404774,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
1276,False,"{'a': 0.002, 'e': 0.07808166600115313}",25,13,21.0110049482836,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1277,False,"{'a': 0.002, 'e': 0.077925658728426}",30,19,11.848035673837387,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
1278,False,"{'a': 0.002, 'e': 0.07776996315843764}",20,0,21.45907862457264,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1279,False,"{'a': 0.002, 'e': 0.07761457866840563}",25,16,13.405884977583659,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1280,False,"{'a': 0.002, 'e': 0.07745950463679176}",20,11,20.82119943185085,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1281,False,"{'a': 0.002, 'e': 0.07730474044329974}",25,18,12.131332963975257,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1282,False,"{'a': 0.002, 'e': 0.07715028546887258}",20,7,25.198347275054445,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1283,False,"{'a': 0.002, 'e': 0.07699613909569011}",30,11,18.10745437827179,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
1284,False,"{'a': 0.002, 'e': 0.07684230070716673}",20,8,-17.644472148693815,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
1285,False,"{'a': 0.002, 'e': 0.0766887696879486}",20,3,23.829675436036815,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
1286,False,"{'a': 0.002, 'e': 0.07653554542391151}",25,14,20.11377289777716,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1287,False,"{'a': 0.002, 'e': 0.07638262730215813}",35,12,41.549661005860024,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
1288,False,"{'a': 0.002, 'e': 0.07623001471101583}",20,13,13.362311222480658,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1289,False,"{'a': 0.002, 'e': 0.07607770704003398}",20,13,15.51820017191945,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1290,False,"{'a': 0.002, 'e': 0.07592570367998178}",30,18,12.217690830952359,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1291,False,"{'a': 0.002, 'e': 0.07577400402284548}",20,13,-5.4119116816642325,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
1292,False,"{'a': 0.002, 'e': 0.07562260746182634}",25,12,23.654883975978752,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1293,False,"{'a': 0.002, 'e': 0.07547151339133784}",20,12,-25.80388540442781,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
1294,False,"{'a': 0.002, 'e': 0.07532072120700357}",25,9,27.565703424967786,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1295,False,"{'a': 0.002, 'e': 0.07517023030565453}",30,23,15.547588493802618,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1296,False,"{'a': 0.002, 'e': 0.07502004008532698}",25,16,16.067788239268005,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1297,False,"{'a': 0.002, 'e': 0.07487014994525974}",20,16,5.489564859598478,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1298,False,"{'a': 0.002, 'e': 0.07472055928589216}",25,11,16.596392894491593,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1299,False,"{'a': 0.002, 'e': 0.07457126750886131}",25,19,13.493014504261604,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1300,False,"{'a': 0.002, 'e': 0.07442227401699995}",25,18,2.641596274111684,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
1301,False,"{'a': 0.002, 'e': 0.07427357821433388}",30,12,14.106079698618425,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
1302,False,"{'a': 0.002, 'e': 0.0741251795060797}",30,18,21.765597622942217,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1303,False,"{'a': 0.002, 'e': 0.07397707729864236}",25,13,23.713429665649077,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1304,False,"{'a': 0.002, 'e': 0.0738292709996129}",25,0,37.10325739234836,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
1305,False,"{'a': 0.002, 'e': 0.07368176001776583}",20,12,14.201659397970396,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1306,False,"{'a': 0.002, 'e': 0.0735345437630571}",30,8,36.671103269830645,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1307,False,"{'a': 0.002, 'e': 0.07338762164662144}",25,8,-17.31785128032839,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
1308,False,"{'a': 0.002, 'e': 0.07324099308077024}",20,8,22.044194036535337,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1309,False,"{'a': 0.002, 'e': 0.07309465747898901}",30,20,19.766408709740205,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1310,False,"{'a': 0.002, 'e': 0.07294861425593517}",25,17,17.55202088504813,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1311,False,"{'a': 0.002, 'e': 0.07280286282743559}",20,10,-24.13186463692489,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
1312,False,"{'a': 0.002, 'e': 0.07265740261048442}",25,8,19.734636095513835,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
1313,False,"{'a': 0.002, 'e': 0.07251223302324053}",20,12,13.972087465883206,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1314,False,"{'a': 0.002, 'e': 0.07236735348502546}",25,15,19.783215214495677,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1315,False,"{'a': 0.002, 'e': 0.07222276341632078}",20,7,22.504469166171614,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1316,False,"{'a': 0.002, 'e': 0.0720784622387661}",20,10,5.0921559072363785,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
1317,False,"{'a': 0.002, 'e': 0.07193444937515645}",25,12,26.69709521457807,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1318,False,"{'a': 0.002, 'e': 0.07179072424944025}",25,9,30.44573483309543,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1319,False,"{'a': 0.002, 'e': 0.07164728628671672}",25,18,13.102895971669753,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1320,False,"{'a': 0.002, 'e': 0.0715041349132339}",20,9,18.658846235435654,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1321,False,"{'a': 0.002, 'e': 0.07136126955638605}",25,0,34.48926259065136,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
